,zip,num_results,restaurant_ids,necessary,checked_this_month
511,01866,0,,True,False
512,01867,0,,True,False
513,01876,0,,True,False
514,01879,0,,True,False
515,01880,0,,True,False
516,01885,0,,True,False
517,01886,0,,True,False
518,01887,0,,True,False
519,01888,0,,True,False
520,01889,0,,True,False
521,01890,0,,True,False
522,01899,0,,True,False
523,01901,0,,True,False
524,01902,0,,True,False
525,01903,0,,True,False
526,01904,0,,True,False
527,01905,0,,True,False
528,01906,0,,True,False
529,01907,0,,True,False
530,01908,0,,True,False
531,01910,0,,True,False
532,01913,0,,True,False
533,01915,0,,True,False
534,01921,0,,True,False
535,01922,0,,True,False
536,01923,0,,True,False
537,01929,0,,True,False
538,01930,0,,True,False
539,01931,0,,True,False
540,01936,0,,True,False
541,01937,0,,True,False
542,01938,0,,True,False
543,01940,0,,True,False
544,01944,0,,True,False
545,01945,0,,True,False
546,01949,0,,True,False
547,01950,0,,True,False
548,01951,0,,True,False
549,01952,0,,True,False
550,01960,0,,True,False
551,01961,0,,True,False
552,01965,0,,True,False
553,01966,0,,True,False
554,01969,0,,True,False
555,01970,0,,True,False
556,01971,0,,True,False
557,01982,0,,True,False
558,01983,0,,True,False
559,01984,0,,True,False
560,01985,0,,True,False
561,02018,0,,True,False
562,02019,0,,True,False
563,02020,0,,True,False
564,02021,0,,True,False
565,02025,0,,True,False
566,02026,0,,True,False
567,02027,0,,True,False
568,02030,0,,True,False
569,02032,0,,True,False
570,02035,0,,True,False
571,02038,0,,True,False
572,02040,0,,True,False
573,02041,0,,True,False
574,02043,0,,True,False
575,02044,0,,True,False
576,02045,0,,True,False
577,02047,0,,True,False
578,02048,0,,True,False
579,02050,0,,True,False
580,02051,0,,True,False
581,02052,0,,True,False
582,02053,0,,True,False
583,02054,0,,True,False
584,02055,0,,True,False
585,02056,0,,True,False
586,02059,0,,True,False
587,02060,0,,True,False
588,02061,0,,True,False
589,02062,0,,True,False
590,02065,0,,True,False
591,02066,0,,True,False
592,02067,0,,True,False
593,02070,0,,True,False
594,02071,0,,True,False
595,02072,0,,True,False
596,02081,0,,True,False
597,02090,0,,True,False
598,02093,0,,True,False
599,02108,0,,True,False
600,02109,0,,True,False
601,02110,0,,True,False
602,02111,0,,True,False
603,02112,0,,True,False
604,02113,0,,True,False
605,02114,0,,True,False
606,02115,0,,True,False
607,02116,0,,True,False
608,02117,0,,True,False
609,02118,0,,True,False
610,02119,0,,True,False
611,02120,0,,True,False
612,02121,0,,True,False
613,02122,0,,True,False
614,02123,0,,True,False
615,02124,0,,True,False
616,02125,0,,True,False
617,02126,0,,True,False
618,02127,0,,True,False
619,02128,0,,True,False
620,02129,0,,True,False
621,02130,0,,True,False
622,02131,0,,True,False
623,02132,0,,True,False
624,02133,0,,True,False
625,02134,0,,True,False
626,02135,0,,True,False
627,02136,0,,True,False
628,02137,0,,True,False
629,02138,0,,True,False
630,02139,0,,True,False
631,02140,0,,True,False
632,02141,0,,True,False
633,02142,0,,True,False
634,02143,0,,True,False
635,02144,0,,True,False
636,02145,0,,True,False
637,02148,0,,True,False
638,02149,0,,True,False
639,02150,0,,True,False
640,02151,0,,True,False
641,02152,0,,True,False
642,02153,0,,True,False
643,02155,0,,True,False
644,02156,0,,True,False
645,02163,0,,True,False
646,02169,0,,True,False
647,02170,0,,True,False
648,02171,0,,True,False
649,02176,0,,True,False
650,02180,0,,True,False
651,02184,0,,True,False
652,02185,0,,True,False
653,02186,0,,True,False
654,02187,0,,True,False
655,02188,0,,True,False
656,02189,0,,True,False
657,02190,0,,True,False
658,02191,0,,True,False
659,02196,0,,True,False
660,02199,0,,True,False
661,02201,0,,True,False
662,02203,0,,True,False
663,02204,0,,True,False
664,02205,0,,True,False
665,02206,0,,True,False
666,02210,0,,True,False
667,02211,0,,True,False
668,02212,0,,True,False
669,02215,0,,True,False
670,02217,0,,True,False
671,02222,0,,True,False
672,02238,0,,True,False
673,02241,0,,True,False
674,02269,0,,True,False
675,02283,0,,True,False
676,02284,0,,True,False
677,02293,0,,True,False
678,02297,0,,True,False
679,02298,0,,True,False
680,02301,0,,True,False
681,02302,0,,True,False
682,02303,0,,True,False
683,02304,0,,True,False
684,02305,0,,True,False
685,02322,0,,True,False
686,02324,0,,True,False
687,02325,0,,True,False
688,02327,0,,True,False
689,02330,0,,True,False
690,02331,0,,True,False
691,02332,0,,True,False
692,02333,0,,True,False
693,02334,0,,True,False
694,02337,0,,True,False
695,02338,0,,True,False
696,02339,0,,True,False
697,02341,0,,True,False
698,02343,0,,True,False
699,02344,0,,True,False
700,02345,0,,True,False
701,02346,0,,True,False
702,02347,0,,True,False
703,02348,0,,True,False
704,02349,0,,True,False
705,02350,0,,True,False
706,02351,0,,True,False
707,02355,0,,True,False
708,02356,0,,True,False
709,02357,0,,True,False
710,02358,0,,True,False
711,02359,0,,True,False
712,02360,0,,True,False
713,02361,0,,True,False
714,02362,0,,True,False
715,02364,0,,True,False
716,02366,0,,True,False
717,02367,0,,True,False
718,02368,0,,True,False
719,02370,0,,True,False
720,02375,0,,True,False
721,02379,0,,True,False
722,02381,0,,True,False
723,02382,0,,True,False
724,02420,0,,True,False
725,02421,0,,True,False
726,02445,0,,True,False
727,02446,0,,True,False
728,02447,0,,True,False
729,02451,0,,True,False
730,02452,0,,True,False
731,02453,0,,True,False
732,02454,0,,True,False
733,02455,0,,True,False
734,02456,0,,True,False
735,02457,0,,True,False
736,02458,0,,True,False
737,02459,0,,True,False
738,02460,0,,True,False
739,02461,0,,True,False
740,02462,0,,True,False
741,02464,0,,True,False
742,02465,0,,True,False
743,02466,0,,True,False
744,02467,0,,True,False
745,02468,0,,True,False
746,02471,0,,True,False
747,02472,0,,True,False
748,02474,0,,True,False
749,02475,0,,True,False
750,02476,0,,True,False
751,02477,0,,True,False
752,02478,0,,True,False
753,02479,0,,True,False
754,02481,0,,True,False
755,02482,0,,True,False
756,02492,0,,True,False
