,lat,lon,radius,region,num_results,checked_this_month
238,40.97369,-123.49377,14.7,Lower 48,0,False
239,40.85386,-123.44601,14.7,Lower 48,0,False
240,40.73402,-123.3984,14.7,Lower 48,0,False
241,40.61417,-123.35096,14.7,Lower 48,0,False
242,40.49431,-123.30367,14.7,Lower 48,0,False
243,40.37445,-123.25655,14.7,Lower 48,0,False
244,40.25458,-123.20958,14.7,Lower 48,0,False
245,40.13469,-123.16277,14.7,Lower 48,0,False
246,40.0148,-123.11612,14.7,Lower 48,0,False
247,39.8949,-123.06962,14.7,Lower 48,0,False
248,39.77499,-123.02327,14.7,Lower 48,0,False
249,39.65506,-122.97708,14.7,Lower 48,0,False
250,39.53513,-122.93104,14.7,Lower 48,0,False
251,39.41518,-122.88516,14.7,Lower 48,0,False
252,39.29522,-122.83943,14.7,Lower 48,0,False
253,39.17524,-122.79385,14.7,Lower 48,0,False
254,39.05526,-122.74842,14.7,Lower 48,0,False
255,38.93526,-122.70313,14.7,Lower 48,0,False
256,38.81524,-122.658,14.7,Lower 48,0,False
257,38.69521,-122.61302,14.7,Lower 48,0,False
258,38.57516,-122.56818,14.7,Lower 48,0,False
259,38.4551,-122.52349,14.7,Lower 48,0,False
260,38.33502,-122.47895,14.7,Lower 48,0,False
261,38.21493,-122.43455,14.7,Lower 48,0,False
262,38.09482,-122.3903,14.7,Lower 48,0,False
263,37.97469,-122.34619,14.7,Lower 48,0,False
264,37.85454,-122.30222,14.7,Lower 48,0,False
265,37.73437,-122.2584,14.7,Lower 48,0,False
266,37.61418,-122.21472,14.7,Lower 48,0,False
267,37.49398,-122.17118,14.7,Lower 48,0,False
268,37.37375,-122.12778,14.7,Lower 48,0,False
269,37.25351,-122.08452,14.7,Lower 48,0,False
270,37.13324,-122.04141,14.7,Lower 48,0,False
271,37.01296,-121.99843,14.7,Lower 48,0,False
272,36.65196,-121.87031,14.7,Lower 48,0,False
273,36.53159,-121.82788,14.7,Lower 48,0,False
274,36.41119,-121.78558,14.7,Lower 48,0,False
275,36.29076,-121.74342,14.7,Lower 48,0,False
276,36.17032,-121.70139,14.7,Lower 48,0,False
277,36.04985,-121.6595,14.7,Lower 48,0,False
278,43.46165,-124.36602,14.7,Lower 48,0,False
279,43.34178,-124.315,14.7,Lower 48,0,False
280,43.22191,-124.26415,14.7,Lower 48,0,False
281,43.10205,-124.21349,14.7,Lower 48,0,False
282,42.98219,-124.16299,14.7,Lower 48,0,False
283,42.86234,-124.11268,14.7,Lower 48,0,False
284,42.74248,-124.06253,14.7,Lower 48,0,False
285,42.62263,-124.01257,14.7,Lower 48,0,False
286,42.50278,-123.96277,14.7,Lower 48,0,False
287,42.38293,-123.91314,14.7,Lower 48,0,False
288,42.26308,-123.86369,14.7,Lower 48,0,False
289,42.14322,-123.81441,14.7,Lower 48,0,False
290,42.02337,-123.76529,14.7,Lower 48,0,False
291,41.90352,-123.71634,14.7,Lower 48,0,False
292,41.78366,-123.66756,14.7,Lower 48,0,False
293,41.6638,-123.61895,14.7,Lower 48,0,False
294,41.54394,-123.5705,14.7,Lower 48,0,False
